molecule_id,dataset_name,smiles,top_v,atom_v,top_reason,atom_reason,top_cat,atom_cat
142416422,BDAD.smi,Fc1nc(F)c(Br)nc1F,0,1,cycle_not_5,ok,not_c5_cycle,none
2055498429,BDAD.smi,Cn1cc(Br)c(F)cc1=O,0,1,cycle_not_5,ok,not_c5_cycle,none
2332241338,BDAD.smi,Cc1cc(N)c(F)nc1Br,0,1,cycle_not_5,ok,not_c5_cycle,none
2382315058,BDAD.smi,Nc1cc(Br)c(F)nc1O,0,1,cycle_not_5,ok,not_c5_cycle,none
2382359738,BDAD.smi,Cc1nc(Br)c(O)cc1F,0,1,cycle_not_5,ok,not_c5_cycle,none
2383300283,BDAD.smi,Nc1cc(Br)c(F)nc1N,0,1,cycle_not_5,ok,not_c5_cycle,none
2386357053,BDAD.smi,Nc1nc(Cl)c(F)nc1Br,0,1,cycle_not_5,ok,not_c5_cycle,none
2386365755,BDAD.smi,Cc1nc(Br)c(C)nc1N,0,1,cycle_not_5,ok,not_c5_cycle,none
2386390145,BDAD.smi,Cc1nc(O)c(Br)cc1F,0,1,cycle_not_5,ok,not_c5_cycle,none
2386390793,BDAD.smi,Cc1cn(C)c(=O)cc1I,0,1,cycle_not_5,ok,not_c5_cycle,none
584628893,BDAD.smi,Nc1nc(Br)c(F)cc1F,0,1,cycle_not_5,ok,not_c5_cycle,none
214206066,BDAD.smi,O=C1CCn2c(Br)ccc21,0,1,cycle_not_5,ok,not_c5_cycle,none
215041224,BDAD.smi,CN1Cc2cc(Br)[nH]c2C1,0,1,cycle_not_5,ok,not_c5_cycle,none
2382331494,BDAD.smi,C[C@@H]1Cc2nc(Br)cn2C1,0,1,cycle_not_5,ok,not_c5_cycle,none
2382331495,BDAD.smi,C[C@H]1Cc2nc(Br)cn2C1,0,1,cycle_not_5,ok,not_c5_cycle,none
2383301276,BDAD.smi,C[C@H]1CCc2c(I)ncn21,0,1,cycle_not_5,ok,not_c5_cycle,none
2383749363,BDAD.smi,C[C@@H]1CCc2c(I)ncn21,0,1,cycle_not_5,ok,not_c5_cycle,none
307640455,BDAD.smi,O=C1NCc2c(Br)csc21,0,1,cycle_not_5,ok,not_c5_cycle,none
34543616,BDAD.smi,C[C@@H]1Cn2cc(Br)nc2O1,0,1,cycle_not_5,ok,not_c5_cycle,none
34543618,BDAD.smi,C[C@H]1Cn2cc(Br)nc2O1,0,1,cycle_not_5,ok,not_c5_cycle,none
116551861,BDAD.smi,COc1cc(N)c(CO)cc1Br,0,1,cycle_not_5,ok,not_c5_cycle,none
120551648,BDAD.smi,CCn1cc(Br)c(OC)cc1=O,0,1,cycle_not_5,ok,not_c5_cycle,none
211104842,BDAD.smi,COc1cc(Br)c(CN)cc1O,0,1,cycle_not_5,ok,not_c5_cycle,none
2383755696,BDAD.smi,COc1cc(Br)c(CO)cc1N,0,1,cycle_not_5,ok,not_c5_cycle,none
238391452,BDAD.smi,COc1cc(O)c(CO)cc1Br,0,1,cycle_not_5,ok,not_c5_cycle,none
2580746,BDAD.smi,COc1cc(Br)c(CO)cc1O,0,1,cycle_not_5,ok,not_c5_cycle,none
116147024,BDAD.smi,Oc1ccc2nc(Br)ncc2n1,0,1,cycle_not_5,ok,not_c5_cycle,none
1307256885,BDAD.smi,c1nnc(CSc2nncs2)s1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
130860596,BDAD.smi,O[C@@H]1CCN(c2nc(Cl)cs2)C1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
130864848,BDAD.smi,O[C@H]1CCN(c2nc(Cl)cs2)C1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
298313694,BCAD.smi,C1CSC(SCc2nnn[nH]2)=N1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
854807358,BCAD.smi,O=C(C1SCCS1)N1CCOC1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
95252455,BCAD.smi,c1nnc(SCc2nnn[nH]2)s1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1307349700,BCAD.smi,O=C1NC[C@@H](Cn2cnc(Br)n2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1307349712,BCAD.smi,O=C1NC[C@H](Cn2cnc(Br)n2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1307351028,BCAD.smi,Cc1noc(Cn2cnc(Br)n2)n1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
132022468,BCAD.smi,Cc1nnnn1Cc1nnsc1Cl,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1327169589,BCAD.smi,O=C1CC[C@H](Cn2cnc(Br)n2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1327169594,BCAD.smi,O=C1CC[C@@H](Cn2cnc(Br)n2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1334805440,BCAD.smi,O=C1C[C@@H](Cn2cnc(Br)n2)CN1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1334805441,BCAD.smi,O=C1C[C@H](Cn2cnc(Br)n2)CN1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1339182854,BCAD.smi,O=C1C[C@@H](Cn2cnc(Cl)n2)CN1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1339182855,BCAD.smi,O=C1C[C@H](Cn2cnc(Cl)n2)CN1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1350876491,BCAD.smi,Cn1nncc1Cn1ccnc1Br,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1576860626,BCAD.smi,C[C@@H]1CSC[C@@H]1N[C@@H]1CNC[C@H]1C,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1576860627,BCAD.smi,C[C@@H]1CNC[C@H]1N[C@H]1CSC[C@@H]1C,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1576860628,BCAD.smi,C[C@@H]1CNC[C@H]1N[C@@H]1CSC[C@@H]1C,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1576860629,BCAD.smi,C[C@@H]1CSC[C@H]1N[C@@H]1CNC[C@H]1C,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
163507518,BCAD.smi,c1nnc(SCCC2OCCO2)[nH]1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
163721742,BCAD.smi,c1nn[nH]c1SCCC1OCCO1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1643968170,BCAD.smi,Cn1ccc(Cn2cnc(Br)n2)n1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1652866874,BCAD.smi,Cn1cc(Cn2cnc(Br)n2)nn1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1656600095,BCAD.smi,O=C1NC[C@@H](Cn2cnc(Cl)n2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
1656600119,BCAD.smi,O=C1NC[C@H](Cn2cnc(Cl)n2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
282213299,BCAD.smi,O=C1NC[C@H](Cn2ccc(Cl)n2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
282213303,BCAD.smi,O=C1NC[C@@H](Cn2ccc(Cl)n2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
282323493,BCAD.smi,O=C1NC[C@@H](Cn2cc(Cl)cn2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
282323495,BCAD.smi,O=C1NC[C@H](Cn2cc(Cl)cn2)O1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
289316035,BCAD.smi,Cn1ncc(Cn2cc(Br)cn2)n1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
295412454,BCAD.smi,O=S(=O)(c1ccco1)N1CCOC1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
2382359198,BEAD.smi,Nc1nc(F)c(Br)cc1Cl,0,1,cycle_not_5,ok,not_c5_cycle,none
2382418331,BEAD.smi,Nc1cc(F)c(Cl)nc1Br,0,1,cycle_not_5,ok,not_c5_cycle,none
238465103,BEAD.smi,Cc1cc(O)c(Br)nc1C,0,1,cycle_not_5,ok,not_c5_cycle,none
307124189,BEAD.smi,Cc1cc(Cl)c(Br)nc1N,0,1,cycle_not_5,ok,not_c5_cycle,none
39104949,BEAD.smi,Cc1nc(C)c(Br)nc1C,0,1,cycle_not_5,ok,not_c5_cycle,none
2383303103,BEAD.smi,O=C1COc2c(Br)csc21,0,1,cycle_not_5,ok,not_c5_cycle,none
1118464904,BEAD.smi,C1CSC(S[C@H]2CCSC2)=N1,0,1,petals_not_isomorphic,ok,petals_not_isomorphic,none
